wavelength(nm) transmission
524.218246 0.826404
524.244458 0.826543
524.270671 0.826547
524.296885 0.826504
524.323101 0.826523
524.349317 0.826509
524.375535 0.826462
524.401755 0.826438
524.427976 0.826465
524.454198 0.826451
524.480421 0.826357
524.506646 0.826418
524.532872 0.826464
524.559099 0.826468
524.585328 0.826473
524.611558 0.826456
524.637789 0.826481
524.664021 0.82625
524.690255 0.82649
524.71649 0.826489
524.742727 0.826498
524.768965 0.826502
524.795204 0.826406
524.821444 0.826474
524.847686 0.826406
524.873929 0.826468
524.900173 0.826453
524.926419 0.826439
524.952666 0.826424
524.978914 0.826326
525.005164 0.826414
525.031415 0.826418
525.057667 0.826422
525.083921 0.826427
525.110175 0.826431
525.136432 0.826435
525.162689 0.826112
525.188948 0.826443
525.215208 0.826447
525.241469 0.826451
525.267732 0.826456
525.293996 0.826348
525.320261 0.826464
525.346528 0.826468
525.372796 0.82641
525.399065 0.826476
525.425336 0.82648
525.451608 0.826484
525.477881 0.826215
525.504156 0.826491
525.530432 0.826477
525.556709 0.826462
525.582987 0.826447
525.609267 0.826432
525.635548 0.826417
525.661831 0.826402
525.688114 0.826395
525.714399 0.826399
525.740686 0.826403
525.766974 0.826407
525.793263 0.826411
525.819553 0.826415
525.845844 0.826419
525.872137 0.826423
525.898432 0.826427
525.924727 0.826431
525.951024 0.826435
525.977322 0.826439
526.003622 0.826443
526.029923 0.826446
526.056225 0.826431
526.082528 0.826416
526.108833 0.826401
526.135139 0.826386
526.161447 0.826371
526.187755 0.826356
526.214065 0.826349
526.240377 0.826353
526.266689 0.826356
526.293003 0.82636
526.319319 0.826364
526.345635 0.826368
526.371953 0.826372
526.398273 0.826376
526.424593 0.82638
526.450915 0.826384
526.477238 0.826388
526.503563 0.826392
526.529889 0.826396
526.556216 0.826399
526.582544 0.826384
526.608874 0.826368
526.635205 0.826353
526.661538 0.826338
526.687871 0.826323
526.714206 0.826308
526.740543 0.8263
526.76688 0.826304
526.793219 0.826039
526.81956 0.826134
526.845901 0.826316
526.872244 0.82632
526.898589 0.826324
526.924934 0.826314
526.951281 0.826299
526.977629 0.826284
527.003979 0.826269
527.03033 0.826254
527.056682 0.826225
527.083035 0.826224
527.10939 0.826228
527.135746 0.826232
527.162104 0.826236
527.188462 0.826239
527.214823 0.826243
527.241184 0.826242
527.267547 0.82624
527.293911 0.826254
527.320276 0.826258
527.346643 0.826262
527.373011 0.826265
527.39938 0.826269
527.425751 0.826273
527.452123 0.826277
527.478496 0.82628
527.50487 0.826284
527.531246 0.826288
527.557624 0.826292
527.584002 0.826295
527.610382 0.826298
527.636763 0.826283
527.663146 0.826268
527.689529 0.826252
527.715915 0.826237
527.742301 0.826222
527.768689 0.826207
527.795078 0.826199
527.821468 0.826202
527.84786 0.826112
527.874253 0.82621
527.900648 0.826213
527.927043 0.826217
527.95344 0.826221
527.979839 0.826224
528.006238 0.826228
528.032639 0.826232
528.059041 0.826235
528.085445 0.826239
528.11185 0.826242
528.138256 0.826245
528.164664 0.82623
528.191073 0.826215
528.217483 0.826199
528.243894 0.826184
528.270307 0.826168
528.296722 0.826153
528.323137 0.826145
528.349554 0.826149
528.375972 0.826152
528.402391 0.826156
528.428812 0.826159
528.455234 0.826163
528.481658 0.826166
528.508082 0.826154
528.534509 0.826173
528.560936 0.826177
528.587365 0.82618
528.613795 0.826122
528.640226 0.826187
528.666659 0.826191
528.693093 0.826194
528.719528 0.826198
528.745965 0.826201
528.772403 0.826205
528.798842 0.826208
528.825282 0.826212
528.851724 0.826215
528.878168 0.826219
528.904612 0.826222
528.931058 0.825945
528.957505 0.826229
528.983954 0.826232
529.010404 0.826236
529.036855 0.826239
529.063307 0.826243
529.089761 0.826246
529.116216 0.82625
529.142673 0.826253
529.169131 0.826257
529.19559 0.826045
529.22205 0.826212
529.248512 0.826228
529.274975 0.826212
529.301439 0.826197
529.327905 0.826181
529.354372 0.826165
529.380841 0.826157
529.40731 0.826161
529.433781 0.826164
529.460254 0.826168
529.486727 0.826171
529.513202 0.826175
529.539679 0.826178
529.566156 0.826181
529.592635 0.826185
529.619116 0.826188
529.645597 0.826191
529.67208 0.826195
529.698564 0.826198
529.72505 0.826201
529.751537 0.826204
529.778025 0.826208
529.804515 0.826211
529.831006 0.826215
529.857498 0.826218
529.883991 0.826221
529.910486 0.826178
529.936982 0.826228
529.96348 0.826231
529.989979 0.826234
530.016479 0.826237
530.04298 0.826241
530.069483 0.826244
530.095987 0.826247
530.122493 0.82625
530.149 0.826254
530.175508 0.826257
530.202017 0.82626
530.228528 0.826263
530.25504 0.826267
530.281553 0.82627
530.308068 0.826273
530.334584 0.826276
530.361102 0.82628
530.38762 0.826283
530.41414 0.826286
530.440662 0.82627
530.467184 0.826293
530.493709 0.826296
530.520234 0.826299
530.546761 0.826302
530.573289 0.826305
530.599818 0.826309
530.626349 0.826312
530.65288 0.826315
530.679414 0.826318
530.705948 0.826321
530.732484 0.826324
530.759022 0.826327
530.78556 0.82633
530.8121 0.826333
530.838642 0.826336
530.865184 0.82634
530.891728 0.826343
530.918273 0.826346
530.94482 0.826349
530.971368 0.82636
530.997917 0.826382
531.024468 0.826404
531.051019 0.826426
531.077573 0.826449
531.104127 0.826471
531.130683 0.826493
531.15724 0.8265
531.183799 0.826503
531.210359 0.826506
531.23692 0.826509
531.263482 0.826513
531.290046 0.826516
531.316611 0.826519
531.343178 0.826522
531.369746 0.826525
531.396315 0.826528
531.422885 0.826531
531.449457 0.826534
531.47603 0.826537
531.502605 0.82654
531.52918 0.826543
531.555758 0.826546
531.582336 0.826549
531.608916 0.826552
531.635497 0.826555
531.662079 0.826558
531.688663 0.826576
531.715248 0.826598
531.741835 0.826619
531.768422 0.826641
531.795012 0.826663
531.821602 0.826685
531.848194 0.826706
531.874787 0.826709
531.901381 0.826712
531.927977 0.826715
531.954574 0.826717
531.981172 0.82672
532.007772 0.826723
532.034373 0.826734
532.060976 0.826756
532.087579 0.826778
532.114184 0.8268
532.140791 0.826822
532.167398 0.826844
532.194007 0.826866
532.220618 0.826873
532.247229 0.826876
532.273842 0.826879
532.300457 0.826882
532.327073 0.826885
532.35369 0.826888
532.380308 0.826892
532.406928 0.826914
532.433549 0.826936
532.460171 0.826958
532.486795 0.82698
532.51342 0.827002
532.540046 0.827024
532.566674 0.827045
532.593303 0.827067
532.619933 0.827089
532.646565 0.827111
532.673198 0.827133
532.699832 0.827155
532.726468 0.827176
532.753105 0.827184
532.779743 0.827187
532.806383 0.827189
532.833024 0.827192
532.859666 0.827195
532.88631 0.827198
532.912954 0.827202
532.939601 0.827224
532.966248 0.827246
532.992897 0.827268
533.019548 0.82729
533.046199 0.827311
533.072852 0.827333
533.099507 0.827355
533.126162 0.827377
533.152819 0.827398
533.179478 0.82742
533.206137 0.827442
533.232798 0.827464
533.259461 0.827485
533.286124 0.827507
533.312789 0.827529
533.339455 0.827551
533.366123 0.827572
533.392792 0.827594
533.419462 0.827616
533.446134 0.827638
533.472807 0.827659
533.499481 0.827681
533.526157 0.827703
533.552834 0.827724
533.579512 0.827746
533.606192 0.827768
533.632873 0.82779
533.659555 0.827811
533.686239 0.827833
533.712924 0.827855
533.73961 0.827876
533.766298 0.827898
533.792987 0.82792
533.819677 0.827941
533.846369 0.827963
533.873062 0.827985
533.899756 0.828006
533.926452 0.828028
533.953149 0.82805
533.979847 0.828071
534.006547 0.828093
534.033248 0.828115
534.05995 0.828136
534.086654 0.828158
534.113359 0.82818
534.140065 0.828201
534.166773 0.828223
534.193482 0.828244
534.220192 0.828266
534.246904 0.828288
534.273617 0.828309
534.300331 0.828331
534.327047 0.828353
534.353764 0.828374
534.380482 0.828396
534.407202 0.828417
534.433923 0.828439
534.460645 0.82846
534.487369 0.828482
534.514094 0.828506
534.54082 0.828546
534.567548 0.828587
534.594277 0.828628
534.621007 0.828668
534.647739 0.828709
534.674472 0.82875
534.701207 0.828781
534.727942 0.828803
534.754679 0.828825
534.781418 0.828846
534.808157 0.828868
534.834899 0.828889
534.861641 0.828911
534.888385 0.828932
534.91513 0.828954
534.941876 0.828975
534.968624 0.828997
534.995373 0.829018
535.022124 0.82904
535.048875 0.829063
535.075628 0.829104
535.102383 0.829145
535.129139 0.829185
535.155896 0.829226
535.182654 0.829266
535.209414 0.829307
535.236175 0.829339
535.262938 0.82936
535.289701 0.829382
535.316467 0.829403
535.343233 0.829425
535.370001 0.829446
535.39677 0.829468
535.423541 0.829489
535.450312 0.829511
535.477086 0.829532
535.50386 0.829554
535.530636 0.829575
535.557413 0.829596
535.584192 0.82962
535.610972 0.829661
535.637753 0.829701
535.664535 0.829741
535.691319 0.829782
535.718105 0.829822
535.744891 0.829863
535.771679 0.829895
535.798468 0.829916
535.825259 0.829938
535.852051 0.829959
535.878844 0.829981
535.905639 0.830002
535.932435 0.830023
535.959232 0.830045
535.986031 0.830066
536.012831 0.830088
536.039632 0.830109
536.066435 0.83013
